Location,activation,n_l,n_n,p_d,MSE,MAE,Loss STD
Downtown Chicago,ReLU,1,32,0.8,2.2159e-02,7.4636e-02,2.6531e-05
Downtown Chicago,Sigmoid,1,32,0.8,2.2164e-02,7.4653e-02,2.9465e-05
Downtown Chicago,SELU,1,128,0.2,2.2777e-02,7.7675e-02,2.3016e-05
Downtown Chicago,ReLU,1,128,0.2,2.2936e-02,7.8406e-02,1.5559e-05
Downtown Chicago,Sigmoid,1,128,0.2,2.2757e-02,7.7545e-02,1.0626e-05
Downtown Chicago,SELU,1,128,0.8,2.2301e-02,7.5305e-02,1.3190e-05
Downtown Chicago,ReLU,1,128,0.8,2.2433e-02,7.5947e-02,1.4555e-05
Downtown Chicago,Sigmoid,1,128,0.8,2.2359e-02,7.5610e-02,8.5296e-06
Downtown Chicago,SELU,1,512,0.2,2.2820e-02,7.7799e-02,1.2764e-05
Downtown Chicago,ReLU,1,512,0.2,2.3388e-02,7.9443e-02,3.2336e-05
Downtown Chicago,Sigmoid,1,512,0.2,2.2789e-02,7.7772e-02,1.9621e-05
Downtown Chicago,SELU,1,512,0.8,2.2524e-02,7.6410e-02,7.7040e-06
Downtown Chicago,ReLU,1,512,0.8,2.2693e-02,7.7238e-02,1.5412e-05
Downtown Chicago,Sigmoid,1,512,0.8,2.2531e-02,7.6605e-02,1.5772e-05
Downtown Chicago,SELU,2,32,0.2,2.3183e-02,7.9003e-02,1.0357e-04
Downtown Chicago,ReLU,2,32,0.2,2.2906e-02,7.7773e-02,1.5385e-04
Downtown Chicago,Sigmoid,2,32,0.2,2.3189e-02,7.8671e-02,1.9688e-05
Downtown Chicago,SELU,2,32,0.8,2.2169e-02,7.5433e-02,8.8199e-06
Downtown Chicago,ReLU,2,32,0.8,2.2123e-02,7.6422e-02,4.5100e-05
Downtown Chicago,Sigmoid,2,32,0.8,2.2288e-02,7.5259e-02,9.2205e-06
